map_context,condition,County,cell_id,count,share_of_condition_pct,centroid_lat,centroid_lon
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,278,2,0.03445305770887166,39.0058398108718,-76.87670592141953
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,282,3,0.05167958656330749,39.07068623748293,-76.87842270214125
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,283,3,0.05167958656330749,39.08689772121727,-76.87885276285976
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,284,3,0.05167958656330749,39.10310915576562,-76.87928317040476
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,296,2,0.03445305770887166,38.79541350898387,-76.85044780429392
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,300,2,0.03445305770887166,38.860263249346744,-76.85212791716097
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,301,8,0.13781223083548663,38.87647556203628,-76.85254879162724
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,302,3,0.05167958656330749,38.892687825746684,-76.85297000518761
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,303,9,0.15503875968992248,38.90890004046861,-76.85339155813996
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,304,3,0.05167958656330749,38.92511220619278,-76.85381345078247
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,305,2,0.03445305770887166,38.94132432290989,-76.85423568341379
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,306,9,0.15503875968992248,38.957536390610635,-76.85465825633293
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,307,5,0.08613264427217916,38.973748409285754,-76.85508116983928
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,308,2,0.03445305770887166,38.989960378925964,-76.85550442423266
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,312,1,0.01722652885443583,39.054807766952756,-76.85720085668605
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,313,12,0.20671834625322996,39.071019491279756,-76.85762582002526
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,314,17,0.29285099052540914,39.087231166516446,-76.85805112605857
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,315,25,0.4306632213608958,39.102924226430005,-76.85878886408962
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,331,13,0.2239448751076658,38.89301529548279,-76.83222483340795
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,332,9,0.15503875968992248,38.90922769864421,-76.83264167328367
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,333,2,0.03445305770887166,38.925440052892405,-76.83305884905619
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,334,1,0.01722652885443583,38.94165235821816,-76.83347636102076
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,335,8,0.13781223083548663,38.95786461461225,-76.8338942094731
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,336,2,0.03445305770887166,38.974076822065506,-76.83431239470923
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,337,8,0.13781223083548663,38.99028898056872,-76.83473091702567
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,341,1,0.01722652885443583,39.055137124898145,-76.83640838303694
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,342,3,0.05167958656330749,39.07062929369056,-76.83953402468984
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,343,3,0.05167958656330749,39.088284828367044,-76.83882469498961
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,344,3,0.05167958656330749,39.10080665054513,-76.8432171123799
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,361,4,0.06890611541774332,38.893339081823136,-76.81147932602647
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,366,1,0.01722652885443583,38.974401540850565,-76.81354328249897
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,367,2,0.03445305770887166,38.990613886094174,-76.81395707244161
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,380,1,0.01722652885443583,38.76395524129132,-76.78748596870986
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,381,3,0.05167958656330749,38.78016840462761,-76.7878907654262
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,388,5,0.08613264427217916,38.89365918458945,-76.79073348683366
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,421,1,0.01722652885443583,38.97503989572246,-76.77200406206673
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,450,1,0.01722652885443583,38.94292760015134,-76.75043574457818
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,451,1,0.01722652885443583,38.9591405901099,-76.75083469223596
